address,sbl_long,sbl_short,sale_price,sale_date,assessment,prop_type,lot_size,yr_blt,sqft,bedrooms,baths,fireplaces
"18 FLORENCE, Buffalo",0895000004008000,89.50-4-8,"$99,000",4/28/2006,"$253,000",Residential - 1 Family ResOld style,33 x 100,1910,"2,369",4,1,0
"19 ARUNDEL, Buffalo",0785100005021000,78.51-5-21,"$127,000",4/28/2006,"$179,000",Residential - 1 Family ResOld style,38 x 117,1926,"1,674",3,2,1
"163 WELLINGTON, Buffalo",0786600003019000,78.66-3-19,"$127,000",4/28/2006,"$240,000",Residential - 1 Family ResOld style,40 x 123,1935,"1,999",4,2,1
"103 MILITARY, Buffalo",0882700002025000,88.27-2-25,"$38,000",4/28/2006,"$46,000",Residential - 1 Family ResOld style,25 x 0,1900,720,2,1,0
"203 ORA WRIGHTER DR, Buffalo",1116300001023000,111.63-1-23,"$79,900",4/28/2006,"$107,000",Residential - 1 Family ResTownhouse,20 x 92.5,1998,"1,140",3,1.5,0
"530 TAUNTON, Buffalo",0785100001036000,78.51-1-36,"$78,000",4/28/2006,"$116,000",Residential - 1 Family ResCape cod,43.5 x 130,1950,"1,234",3,1,0
"86 FOLGER, Buffalo",1333000006054000,133.30-6-54,"$55,000",4/28/2006,"$62,000",Residential - 2 Family ResOld style,37.66 x 113,1947,"1,610",4,2,0
"594 HERTEL, Buffalo",0776800007017000,77.68-7-17,"$56,000",4/27/2006,"$72,000",Commercial - Det row bldg ,43 x 156.1,,,,,
"118 WEAVER, Buffalo",1232600001044000,123.26-1-44,"$66,980",4/26/2006,"$77,000",Residential - 1 Family ResOld style,30 x 112,1900,"1,623",3,1,0
"332 CUMBERLAND, Buffalo",1332500007017000,133.25-7-17,"$84,000",4/26/2006,"$124,000",Residential - 1 Family ResOld style,37 x 120,1930,"1,322",3,2,0
"19 BAXTER, Buffalo",0774000002024000,77.40-2-24,"$57,000",4/26/2006,"$85,000",Residential - 2 Family ResOld style,30 x 110,1928,"2,348",6,2,0
"105 SHEFFIELD, Buffalo",1335600002007000,133.56-2-7,"$41,300",4/26/2006,"$96,000",Residential - 1 Family ResOld style,30 x 115,1928,"1,216",3,1,0
"511 SHIRLEY, Buffalo",0798200002010000,79.82-2-10,"$38,500",4/25/2006,"$54,000",Residential - 2 Family ResOld style,34 x 108,1925,"1,483",3,2,0
"3 HECLA, Buffalo",0784400003018000,78.44-3-18,"$83,000",4/24/2006,"$147,000",Residential - 1 Family ResRanch,40 x 125,1950,"1,342",2,1,0
"112 DORCHESTER, Buffalo",0888400003018000,88.84-3-18,"$169,900",4/24/2006,"$359,000",Residential - 1 Family ResOld style,37 x 149,1920,"3,338",5,1.5,1
"27 PAGE, Buffalo",0776800003026000,77.68-3-26,"$69,000",4/21/2006,"$96,000",Residential - 2 Family ResOld style,35 x 104.5,1912,"2,458",6,2,0
"78 HAMLIN, Buffalo",1002600003038000,100.26-3-38,"$65,000",4/20/2006,"$57,000",Residential - 1 Family ResOld style,37 x 105,1920,"1,523",3,1,0
"440 OGDEN SOUTH, Buffalo",1233500004004100,123.35-4-4.1,"$89,000",4/20/2006,"$57,000",Residential - 2 Family ResOld style,60 x 113,1920,"2,690",4,2,0
"78 TIOGA, Buffalo",0787100003001000,78.71-3-1,"$80,000",4/19/2006,"$135,000",Residential - 1 Family ResOld style,33 x 155,1918,"1,232",3,1,1
"124 LEONARD, Buffalo",0902600003018000,90.26-3-18,"$62,500",4/19/2006,"$58,000",Residential - 2 Family ResOld style,45 x 175,1947,"2,705",5,2,0
"64 REDMOND, Buffalo",0784200004006000,78.42-4-6,"$90,000",4/19/2006,"$137,000",Residential - 2 Family ResColonial,40 x 127,1955,"1,872",4,2,0
"1037 TIFFT, Buffalo",1333900004016000,133.39-4-16,"$81,000",4/18/2006,"$104,000",Residential - 2 Family ResOld style,33.34 x 116,1930,"2,317",4,2,0
"68 FRANK, Buffalo",1237400005034000,123.74-5-34,"$37,000",4/17/2006,"$55,000",Residential - 1 Family ResOld style,30 x 125,1926,"1,100",2,1.5,0
"9 LILAC, Buffalo",1237800002026000,123.78-2-26,"$33,990",4/17/2006,"$64,000",Residential - 1 Family ResOld style,33 x 135,1920,"1,690",4,1.5,0
"252 BEDFORD, Buffalo",0892200005014000,89.22-5-14,"$135,000",4/13/2006,"$265,000",Residential - 1 Family ResOld style,35 x 132,1924,"1,906",4,2,1
"81 JOHNSON PK, Buffalo",1112900008034000,111.29-8-34,"$85,000",4/13/2006,"$156,000",Residential - 1 Family ResOld style,28 x 128,1830,"1,155",2,1,1
"97 WELLINGTON, Buffalo",0787400002052000,78.74-2-52,"$95,000",4/12/2006,"$268,000",Residential - 1 Family ResOld style,50 x 186,1907,"2,956",5,2,1
"90 LISBON, Buffalo",0796200003020000,79.62-3-20,"$90,000",4/12/2006,"$118,000",Commercial - Det row bldg ,40 x 120,,,,,
"67 DULUTH, Buffalo",0784200003033000,78.42-3-33,"$70,000",4/11/2006,"$98,000",Residential - 1 Family ResRanch,40 x 120,1950,868,2,1,0
"186 CHOATE, Buffalo",1334800003032000,133.48-3-32,"$63,750",4/11/2006,"$125,000",Residential - 1 Family ResOld style,40 x 120,1910,"1,302",4,1,0
"30 WOODSIDE, Buffalo",1335500003043000,133.55-3-43,"$61,000",4/10/2006,"$109,000",Residential - 1 Family ResOld style,29 x 115,1910,"1,332",3,1.5,0
"224 HIGHGATE, Buffalo",0796400002028000,79.64-2-28,"$81,000",4/10/2006,"$112,000",Residential - 1 Family ResOld style,40 x 110,1925,"2,024",4,1.5,0
